1	0	1784452092382245458	1784452161509896844
2	0	1784452161510608132	1784452230690695436
3	0	1784452230691251649	1784452299706700357
4	0	1784452299707283950	1784452370526960291
3	0	1784452313066479415	1784452383931848679
5	0	1784452370527419266	1784452441688651670
4	0	1784452383932472810	1784452455488279327
6	0	1784452441689119956	1784452512781913273
5	0	1784452455488892648	1784452527059561086
7	0	1784452512782601392	1784452583590458263
6	0	1784452527060099750	1784452598712819582
8	0	1784452583591007846	1784452654999216232
7	0	1784452598713325195	1784452669943327552
9	0	1784452654999742405	1784452725792795445
8	0	1784452669943945492	1784452741483180689
10	0	1784452725793300518	1784452796733583293
9	0	1784452741483789119	1784452812493098785
10	0	1784452812493809382	1784452881590239211
