path,sha256,size_bytes,git_blob_sha1_if_exact_git_blob
raw/github/CachyLLama/.gitmodules.empty.blob-e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
raw/github/CachyLLama/.gitmodules.empty.capture.json,2471ad57d95558a3c484bf85a07075044fb89883b81f345df15496ca499da044,655,
raw/github/CachyLLama/LICENSE.blob-e7dca554bcb802f98408383a864404e3aa4eacca.txt,94f29bbed6a22c35b992c5c6ebf0e7c92f13b836b90f36f461c9cf2f0f1d010d,1078,e7dca554bcb802f98408383a864404e3aa4eacca
raw/github/CachyLLama/LICENSE.blob-e7dca554bcb802f98408383a864404e3aa4eacca.txt.capture.json,a6ad3f13d5fe41842c461e4a58a0e4f3d9e42e6b9e2c8877ee5404b253957857,659,
raw/github/CachyLLama/README.blob-2a19230f301821314d4b061a1ae9dfd00c0254e1.md,e3861b8b70c3ca5829b3d0599bc5041b54e138ed5890f1e9fb5c4a99af38c6aa,41354,2a19230f301821314d4b061a1ae9dfd00c0254e1
raw/github/CachyLLama/README.blob-2a19230f301821314d4b061a1ae9dfd00c0254e1.md.capture.json,110ab49f703e4394b6859946b67d7c47c22195bc4d84868964449482da0734e8,684,
raw/github/CachyLLama/file-level-exceptions.capture.md,63947dac5ec201ce4d56acad78691980954c0e3b964095dd91381805ea3a240e,1009,
raw/github/CachyLLama/file-level-exceptions.capture.md.capture.json,2ed186e3bfcd322f7ffcfca1819b922da9590a24bf670a95f970f41665c538af,655,
raw/github/ROCmFPX/.gitmodules.empty.blob-e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
raw/github/ROCmFPX/.gitmodules.empty.capture.json,e4efb482424c624813100cc9ff0d38b8381a7797ac0a12fd43ee69a5291c33fb,652,
raw/github/ROCmFPX/61f-delta-new-HIP-files.capture.md,39d5792b63f211758774d3be2ae15742a8ec2c1e0a5339bc3a86c2cc00b45d34,962,
raw/github/ROCmFPX/61f-delta-new-HIP-files.capture.md.capture.json,5e04b48e776b3ef8a927cd314544ed27c9dc2104c2ce746c21434b49ba6cef42,698,
raw/github/ROCmFPX/LICENSE.blob-e7dca554bcb802f98408383a864404e3aa4eacca.txt,94f29bbed6a22c35b992c5c6ebf0e7c92f13b836b90f36f461c9cf2f0f1d010d,1078,e7dca554bcb802f98408383a864404e3aa4eacca
raw/github/ROCmFPX/LICENSE.blob-e7dca554bcb802f98408383a864404e3aa4eacca.txt.capture.json,7735f762bf5a0530e1be083b59f6a30f9708f9807b6986dbf7e740aa859af6f5,721,
raw/github/ROCmFPX/README.blob-2a446c96ecb2bf7fc8510c09c325141bd0152061.md,739519404464e920ba26cae97c9f88d045426b2279b82c7a666cd7977ed49e44,23544,2a446c96ecb2bf7fc8510c09c325141bd0152061
raw/github/ROCmFPX/README.blob-2a446c96ecb2bf7fc8510c09c325141bd0152061.md.capture.json,15234d765c8733cbee36119b9f06376a2b1dfca4582656edfc43aad10e16bac3,727,
raw/github/ROCmFPX/THIRD_PARTY_NOTICES.blob-4b2f877fe5011ac7eca70b5409a1cb7b032109ea.md,038b892fb3e926f9f85c3256554f1e74c7a6fab023574ad5869aa389dcf45729,1372,4b2f877fe5011ac7eca70b5409a1cb7b032109ea
raw/github/ROCmFPX/THIRD_PARTY_NOTICES.blob-4b2f877fe5011ac7eca70b5409a1cb7b032109ea.md.capture.json,253b5e28d693e101c31f0377c5683e4ca34be451641739ee306d25e2f5853e39,753,
raw/github/ROCmFPX/UPSTREAM-ATTRIBUTION.blob-1870f3bbdb04432b0ec56d2d74a2fe2895d3cdfc.capture.md,583e3b1e6002d3124c7790da99056b9fd6653d1c2b09589d100e9d33b5d401d9,1502,
raw/github/ROCmFPX/UPSTREAM-ATTRIBUTION.blob-1870f3bbdb04432b0ec56d2d74a2fe2895d3cdfc.capture.md.capture.json,0fb1e47fc85345c24ed1d9b3b56b76f460de103387f020cda2209a7a721158fc,793,
raw/github/ROCmFPX/file-level-exceptions.capture.md,c683e3bc505d2c555af91cd405d2a04b5bf317b2f3cf2b69b89196244b24016e,1286,
raw/github/ROCmFPX/file-level-exceptions.capture.md.capture.json,2d639c99cdd124896f80723df968bbac64a902b9829c7231693ecd1dc9fde0d3,652,
raw/github/ROCmFPX/model-fixture-scripts.capture.md,c89b725985dbae568669e1447f04e32a37edc5e6da09d1693f0c723f3337f08a,1252,
raw/github/ROCmFPX/model-fixture-scripts.capture.md.capture.json,1eb42cbb97d6536e4b612b7a0a0e520037ee0825ea432e1b8aa93572e8208519,734,
raw/github/ROCmFPX/tokenizer-template-generation.capture.md,99d8ecafb8c2692c78ad149c181314f5f0af2302dfb72e1a4563ee1d592b1a29,1560,
raw/github/ROCmFPX/tokenizer-template-generation.capture.md.capture.json,39380387efa498371e5b7f9eeac9d0aabbc8f7a0b92d0d6d39c26c135d3359ae,751,
raw/github/ROCmFPX/webui-direct-dependencies.capture.md,257bde817a19ffb918aa4e09be055e1c7d1ecc3b6da2c60ed0085d651c3ba338,884,
raw/github/ROCmFPX/webui-direct-dependencies.capture.md.capture.json,03a2bafc8b07f7777517c8c6b6f9dd0639db9b296e47e31381f7912c7d17e39b,759,
raw/github/ROCmFPX/webui-generation-and-lockfile.capture.md,2834b1d662067dad5efea7f231391ea55ac9ef619c14b60abe03a6d4bd209bd6,1547,
raw/github/ROCmFPX/webui-generation-and-lockfile.capture.md.capture.json,72e66920ec34c6a2e178058505c260098f16057fdcfa598a3dd3154ee46cf770,715,
raw/github/llama-ai/.gitmodules.blob-c73a9ad6ca6261b42aea9c2d5107fd24298066bb,e380cfba6a6bd383c0b6a25063c947ed17cb18d5d076503db4e03cfae2f2c2ef,108,c73a9ad6ca6261b42aea9c2d5107fd24298066bb
raw/github/llama-ai/.gitmodules.blob-c73a9ad6ca6261b42aea9c2d5107fd24298066bb.capture.json,f11bed7fb0b6ab46d0b6e558b5d4789c75d48f21ad259a4c0186d0c97e6b018a,676,
raw/github/llama-ai/LICENSE.blob-f288702d2fa16d3cdf0035b15a9fcbc552cd88e7.txt,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,35149,f288702d2fa16d3cdf0035b15a9fcbc552cd88e7
raw/github/llama-ai/LICENSE.blob-f288702d2fa16d3cdf0035b15a9fcbc552cd88e7.txt.capture.json,97c5cc8c759a669c2374dc58b0dc9a6796c84f47a93254db5b390e4d2b9a55af,676,
raw/github/llama-ai/README.blob-cb8f9dee239db6df865ee08d0b7008eb5f8b71be.md,0ae5fb260d79260a3a5cb46f5f6cceed372a6bd515c6e99ae49aa19b00cab4b1,14051,cb8f9dee239db6df865ee08d0b7008eb5f8b71be
raw/github/llama-ai/README.blob-cb8f9dee239db6df865ee08d0b7008eb5f8b71be.md.capture.json,b3f0c498f1e62ed9df1eb932ce525064de538944ef6d8915cdf0e0625e9cc22a,681,
raw/github/llama-ai/benchmark-gutenberg-fixture.capture.md,c7dee7a4c9f4bd447fba54c8c77012ebeee64faa044ede1d89c54db1430c29ba,882,
raw/github/llama-ai/benchmark-gutenberg-fixture.capture.md.capture.json,572ec8b7799091cb4fc6684ac0f108e596bdc3cb2543d6493f98af8519c6ef25,726,
raw/github/llama-ai/gpl-file-headers.capture.md,a5d877a66167a9e4142f6d07cb52fca03eb60a63562feae3149d722ee08bb992,1497,
raw/github/llama-ai/gpl-file-headers.capture.md.capture.json,873c49c2546f433a370ae9d1e3c9762ef5e462998edb21e5f5670620df56e196,649,
raw/github/llama-ai/model-downloader.capture.md,604868602e04300eae1ee2ca99d2c2ed2723c7a4b6ef25ef9d7c99de05c64119,955,
raw/github/llama-ai/model-downloader.capture.md.capture.json,38c03f6ef4e31031e6a2d2d6fa4ddcb7a8b302cdc94c3c8460cd9f9e8635151d,702,
raw/upstream/01-qwen3-0.6b-model-card-license-evidence.capture.md,341fa6dc31ac2b7ed8871589037d0e5618f4fc24ac7eaeb81e7af9c4950a268e,705,
raw/upstream/01-qwen3-0.6b-model-card-license-evidence.capture.md.capture.json,fda9ca75b3d8f9a8e88694faa1b3f8bd904d9d943d7476acbf9fe301899f6449,560,
