candidate_id,context_tokens,cache_type,scalars,bytes,gib,plan_gib,status
qwen3-235b-a22b-2507,32768,f16,3154116608,6308233216,5.875,6.0,verified-from-config
qwen3-235b-a22b-2507,32768,q8_0,3154116608,3351248896,3.12109375,3.25,verified-from-config
qwen3-235b-a22b-2507,32768,q4_0,3154116608,1774190592,1.65234375,1.75,verified-from-config
qwen3-235b-a22b-2507,65536,f16,6308233216,12616466432,11.75,11.75,verified-from-config
qwen3-235b-a22b-2507,65536,q8_0,6308233216,6702497792,6.2421875,6.25,verified-from-config
qwen3-235b-a22b-2507,65536,q4_0,6308233216,3548381184,3.3046875,3.5,verified-from-config
qwen3-235b-a22b-2507,131072,f16,12616466432,25232932864,23.5,23.5,verified-from-config
qwen3-235b-a22b-2507,131072,q8_0,12616466432,13404995584,12.484375,12.5,verified-from-config
qwen3-235b-a22b-2507,131072,q4_0,12616466432,7096762368,6.609375,6.75,verified-from-config
qwen3-235b-a22b-2507,262144,f16,25232932864,50465865728,47.0,47.0,verified-from-config
qwen3-235b-a22b-2507,262144,q8_0,25232932864,26809991168,24.96875,25.0,verified-from-config
qwen3-235b-a22b-2507,262144,q4_0,25232932864,14193524736,13.21875,13.25,verified-from-config
step-3.7-flash,32768,f16,874512384,1749024768,1.62890625,1.75,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,32768,q8_0,874512384,929169408,0.8653564453125,1.0,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,32768,q4_0,874512384,491913216,0.4581298828125,0.5,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,65536,f16,1679818752,3359637504,3.12890625,3.25,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,65536,q8_0,1679818752,1784807424,1.6622314453125,1.75,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,65536,q4_0,1679818752,944898048,0.8800048828125,1.0,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,131072,f16,3290431488,6580862976,6.12890625,6.25,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,131072,q8_0,3290431488,3496083456,3.2559814453125,3.5,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,131072,q4_0,3290431488,1850867712,1.7237548828125,1.75,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,262144,f16,6511656960,13023313920,12.12890625,12.25,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,262144,q8_0,6511656960,6918635520,6.4434814453125,6.5,verified-from-config-and-current-iswa-cache-code
step-3.7-flash,262144,q4_0,6511656960,3662807040,3.4112548828125,3.5,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,32768,f16,454164480,908328960,0.845947265625,1.0,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,32768,q8_0,454164480,482549760,0.44940948486328125,0.5,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,32768,q4_0,454164480,255467520,0.23792266845703125,0.25,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,65536,f16,831651840,1663303680,1.549072265625,1.75,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,65536,q8_0,831651840,883630080,0.8229446411132812,1.0,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,65536,q4_0,831651840,467804160,0.43567657470703125,0.5,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,131072,f16,1586626560,3173253120,2.955322265625,3.0,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,131072,q8_0,1586626560,1685790720,1.5700149536132812,1.75,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,131072,q4_0,1586626560,892477440,0.8311843872070312,1.0,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,262144,f16,3096576000,6193152000,5.767822265625,6.0,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,262144,q8_0,3096576000,3290112000,3.0641555786132812,3.25,verified-from-config-and-current-iswa-cache-code
mimo-v2-flash,262144,q4_0,3096576000,1741824000,1.6222000122070312,1.75,verified-from-config-and-current-iswa-cache-code
