candidate_id,repository,revision,quantization,display_size,selected,exact_total_bytes,evidence_status
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-IQ1_S,192 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-TQ1_0,170 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-IQ1_M,207 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-IQ2_XXS,226 GB,true,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q2_K,246 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-IQ2_M,236 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q2_K_L,246 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-Q2_K_XL,256 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-IQ3_XXS,280 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q3_K_S,290 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q3_K_M,320 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-Q3_K_XL,300 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,IQ4_XS,358 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q4_K_S,381 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,IQ4_NL,379 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q4_0,380 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q4_1,421 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q4_K_M,405 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-Q4_K_XL,387 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q5_K_S,463 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q5_K_M,476 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-Q5_K_XL,485 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q6_K,551 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-Q6_K_XL,574 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,Q8_0,713 GB,false,,ROUNDED_CONVERTER_UI
deepseek-v3.1,unsloth/DeepSeek-V3.1-GGUF,f69aacf1ee1e4f66737daebc7e71fa527dfda1bd,UD-Q8_K_XL,781 GB,false,,ROUNDED_CONVERTER_UI
