commit	parents	author_date	author	subject
6a0db500ca1058e06a232c02c50eb5df56b0d151	024930c6ad80ea9eb61159d807571e64b187bd99	2026-06-26T08:26:20-04:00	fewtarius <fewtarius@steamfork.org>	feat(ssd): SSD-backed KV cache with hybrid model checkpoint restore
3e38e4a799e1b79eec77bf7ec864e8e9390ce10c	6a0db500ca1058e06a232c02c50eb5df56b0d151	2026-05-30T13:24:29-04:00	fewtarius <fewtarius@steamfork.org>	fix(ssd): enable cold-start SSD restore for hybrid models with LCP validation
afa4323d47e619050974279e6309408308fe26ed	3e38e4a799e1b79eec77bf7ec864e8e9390ce10c	2026-05-30T14:23:54-04:00	fewtarius <fewtarius@steamfork.org>	SSD cache: fix cold-start continuation matching and hybrid model validation
f1921da730f88307dcf97c629ce6a441e5858693	afa4323d47e619050974279e6309408308fe26ed	2026-05-30T15:12:20-04:00	fewtarius <fewtarius@steamfork.org>	SSD cache: trust same-conversation checkpoints with full prefix match
ae7101da14454e8556becaadf628dfaf84cd9b0d	f1921da730f88307dcf97c629ce6a441e5858693	2026-06-01T08:14:21-04:00	fewtarius <fewtarius@steamfork.org>	common : add namespace_prefix to kv_ssd_init for u/ isolation
7043bf197eabf97215f06b33564b71d6150293a2	ae7101da14454e8556becaadf628dfaf84cd9b0d	2026-06-01T08:24:45-04:00	fewtarius <fewtarius@steamfork.org>	server : thread user_id field from request body to server_task
cfbdfb3996b94174226a99a324d6109d66b6130e	7043bf197eabf97215f06b33564b71d6150293a2	2026-06-01T08:47:02-04:00	fewtarius <fewtarius@steamfork.org>	server : per-user concurrency cap and slot affinity
6b7207d0b7640f7e67c8793ecba8526e33c7caac	cfbdfb3996b94174226a99a324d6109d66b6130e	2026-06-01T19:02:41-04:00	fewtarius <fewtarius@steamfork.org>	server : page manager routes user_id to u/ namespace, no cross-user lookup
7bdf8c253df8b05413d3b2d609ea733e2c50dc3c	6b7207d0b7640f7e67c8793ecba8526e33c7caac	2026-06-01T19:19:45-04:00	fewtarius <fewtarius@steamfork.org>	server : return HTTP 429 when per-user concurrency cap is hit
8b9fa2e68b28c2dac9a67ebeb86bfd1d563f36e0	7bdf8c253df8b05413d3b2d609ea733e2c50dc3c	2026-06-01T19:26:59-04:00	fewtarius <fewtarius@steamfork.org>	server : add --max-concurrent-per-user CLI flag and document the design
