M	.github/workflows/build-self-hosted.yml
M	.github/workflows/release.yml
M	.github/workflows/server-self-hosted.yml
M	.github/workflows/ui-publish.yml
M	AGENTS.md
M	CODEOWNERS
M	README.md
M	common/arg.cpp
M	common/chat-auto-parser-generator.cpp
M	common/chat-auto-parser.h
M	common/chat-diff-analyzer.cpp
M	common/common.h
M	common/jinja/value.cpp
M	common/speculative.cpp
M	conversion/__init__.py
M	conversion/base.py
M	conversion/bitnet.py
M	conversion/hunyuan.py
M	conversion/qwen.py
M	conversion/step3.py
M	convert_hf_to_gguf.py
A	docs/backend/ET.md
M	docs/backend/OPENCL.md
M	docs/backend/SYCL.md
M	docs/ops.md
A	docs/ops/ET.csv
M	docs/ops/SYCL.csv
M	ggml/CMakeLists.txt
M	ggml/include/ggml-cpu.h
A	ggml/include/ggml-et.h
M	ggml/include/ggml-rpc.h
M	ggml/include/ggml.h
M	ggml/include/gguf.h
M	ggml/src/CMakeLists.txt
M	ggml/src/ggml-backend-meta.cpp
M	ggml/src/ggml-backend-reg.cpp
M	ggml/src/ggml-cpu/CMakeLists.txt
M	ggml/src/ggml-cpu/arch/arm/cpu-feats.cpp
M	ggml/src/ggml-cpu/arch/arm/quants.c
M	ggml/src/ggml-cpu/ggml-cpu.c
M	ggml/src/ggml-cpu/ggml-cpu.cpp
M	ggml/src/ggml-cpu/kleidiai/kernels.cpp
M	ggml/src/ggml-cpu/kleidiai/kernels.h
M	ggml/src/ggml-cpu/kleidiai/kleidiai.cpp
M	ggml/src/ggml-cpu/ops.cpp
M	ggml/src/ggml-cpu/ops.h
M	ggml/src/ggml-cuda/argsort.cu
M	ggml/src/ggml-cuda/argsort.cuh
M	ggml/src/ggml-cuda/common.cuh
M	ggml/src/ggml-cuda/concat.cu
A	ggml/src/ggml-cuda/dsv4-hc.cu
A	ggml/src/ggml-cuda/dsv4-hc.cuh
M	ggml/src/ggml-cuda/ggml-cuda.cu
A	ggml/src/ggml-cuda/lightning-indexer.cu
A	ggml/src/ggml-cuda/lightning-indexer.cuh
M	ggml/src/ggml-cuda/mmf.cu
M	ggml/src/ggml-cuda/mmid.cu
M	ggml/src/ggml-cuda/mmid.cuh
A	ggml/src/ggml-cuda/mmq-config-ampere.cuh
A	ggml/src/ggml-cuda/mmq-config-blackwell.cuh
A	ggml/src/ggml-cuda/mmq-config-cdna.cuh
A	ggml/src/ggml-cuda/mmq-config-pascal.cuh
A	ggml/src/ggml-cuda/mmq-config-rdna2.cuh
A	ggml/src/ggml-cuda/mmq-config-rdna4.cuh
